file,id,source,author,premium,risk,text_excerpt
data/cards.ts,card-001,Deutéronome 6:4 — Shema Israël,Rabbi Joseph B. Soloveitchik,false,COPYRIGHT (†1993 → 2063),"L'unité divine n'est pas seulement un dogme — c'est une invitation à l'unité intérieure. Entendre l'Unité de Dieu, c'est cesser de vivre dispersé."
data/cards.ts,card-002,Lévitique 19:18 — Kédochim,"Talmud, Chabbat 31a",false,likely-PD-or-traditional,Rabbi Akiva : C'est là le grand principe de la Torah. Hillel : Ne fais pas à autrui ce qui t'est odieux — c'est toute la Torah ; le reste n'est que commentaire.
data/cards.ts,card-003,Deutéronome 16:20 — Choftim,Rachi,false,likely-PD-or-traditional,"La répétition du mot ""tzedek"" enseigne que même les moyens d'obtenir la justice doivent être justes. Une fin juste ne justifie pas des moyens injustes."
data/cards.ts,card-004,Cantique des Cantiques 6:3,"Talmud, Yadayim 3:5",false,likely-PD-or-traditional,"Rabbi Akiva disait : Toute la Bible est sainte, mais le Cantique des Cantiques est le saint des saints. C'est la métaphore de l'amour entre l'âme et son Créateu"
data/cards.ts,card-005,Pirké Avot 1:6 — Yéhochoua ben Prahia,Rabbi Soloveitchik,false,COPYRIGHT (†1993 → 2063),"L'homme ne grandit pas seul. Il faut un maître qui corrige et élève, un ami qui accompagne et soutient. La Torah se transmet dans la relation, non dans la solit"
data/cards.ts,card-006,Psaume 27:1,Rabbi Abraham Joshua Heschel,false,COPYRIGHT (†1972 → 2042),"La peur disparaît non quand les dangers disparaissent, mais quand on sait d'où vient la lumière. Celui qui tient la lumière ne craint plus l'obscurité."
data/cards.ts,card-007,Michée 7:18 — Qui est comme Toi ?,Heschel,false,COPYRIGHT (†1972 → 2042),"La miséricorde divine n'est pas une concession — c'est un plaisir. Dieu aime pardonner, aimer, guérir. Sa bonté n'est pas contrainte mais désirée."
data/cards.ts,card-008,Lamentations 3:22-23,Emmanuel Lévinas,false,COPYRIGHT (†1995 → 2065),"Au cœur des ruines de Jérusalem, Jérémie découvre un secret : le matin recommence toujours. Chaque aube est une promesse tenue — le renouveau est la fidélité di"
data/cards.ts,card-009,Psaume 51:12,Maïmonide — Hilkhot Teshuvah,false,likely-PD-or-traditional,La teshuvah n'est pas seulement se corriger — c'est demander une création nouvelle. Le cœur peut être recréé. Aucune faute n'est définitive si le désir de puret
data/cards.ts,card-010,Proverbes 3:6,Baal Shem Tov,false,likely-PD-or-traditional,La sagesse de Salomon : Dieu n'est pas seulement dans le temple ou la prière — il est dans toutes les voies. Chaque décision peut être un acte de reconnaissance
data/cards.ts,card-011,Deutéronome 28:9 — Imitatio Dei,"Talmud, Sotah 14a",false,likely-PD-or-traditional,"Imiter Dieu : comme Il revêt les nus (Adam et Ève), revêts les nus ; comme Il visite les malades (Abraham), visite les malades ; comme Il console les endeuillés"
data/cards.ts,card-012,Talmud Chabbat 30b — Simha shel mitsva,Baal Shem Tov,false,likely-PD-or-traditional,La Shekhinah ne repose que sur quelqu'un qui fait les mitsvot dans la joie. Le service de Dieu n'est pas du devoir triste — c'est de la joie profonde. La simha
data/cards.ts,card-013,Ecclésiaste 8:1 — Qui est sage ?,Gaon de Vilna,false,likely-PD-or-traditional,"La sagesse véritable ne se mesure pas à l'érudition mais à la capacité de donner sens aux événements. Celui qui comprend le ""pourquoi"" d'une chose en est illumi"
data/cards.ts,card-014,Michée 6:8 — Mah HaShem doreche mimcha,Heschel,false,COPYRIGHT (†1972 → 2042),"Le prophète résume toute la Torah en trois commandements. La justice, la bonté et l'humilité — pas le sacrifice, pas le rituel, mais la qualité de la relation a"
data/cards.ts,card-015,Exode 20:8 — Le quatrième commandement,Abraham Joshua Heschel — Le Sabbat,false,COPYRIGHT (†1972 → 2042),Heschel : Le Shabbat est un palais dans le temps. Nous construisons les cathédrales dans l'espace ; le judaïsme construit une cathédrale dans le temps — et elle
data/cards.ts,card-016,Deutéronome 30:14,Emmanuel Lévinas,false,COPYRIGHT (†1995 → 2065),"La Torah n'est pas au ciel, dit Moïse. Elle n'est pas au-delà de la mer. Elle est dans ta bouche, dans ton cœur. La révélation n'est pas lointaine — elle habite"
data/cards.ts,card-017,Exode 3:14 — Révélation au buisson ardent,Ramban,false,likely-PD-or-traditional,La révélation la plus mystérieuse de la Bible. Dieu ne donne pas son nom mais son être. Ehyeh — Je serai — désigne la présence dynamique qui sera là dans chaque
data/cards.ts,card-018,Isaïe 6:3 — Vision d'Isaïe,Rachi,false,likely-PD-or-traditional,Trois fois saint — le seul attribut triple de la Bible. La sainteté divine déborde au point que la créature ne peut le prononcer qu'une fois avant de s'écrouler
data/cards.ts,card-019,Psaume 136 — Refrain de la gratitude,Baal Shem Tov,false,likely-PD-or-traditional,Ce refrain se répète vingt-six fois en un seul psaume. La répétition n'est pas de la redondance — c'est de l'insistance sur la vérité la plus difficile à croire
data/cards.ts,card-020,Genèse 1:1 — Le commencement,Rachi — Commentaire sur Genèse 1:1,false,likely-PD-or-traditional,Rachi demande : Pourquoi la Torah commence-t-elle par la création et non par la première mitsvah ? Pour enseigner que le monde entier appartient à Dieu — et qu'
